page,position_page,brand,model,year,price,mileage,gearbox,region,listing_url
2,19,Hyundai,Tucson,2009.0,4000000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-3571
2,20,Peugeot,308,2009.0,3300000,256730.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2219
3,1,Peugeot,307,2007.0,2300000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1326
3,2,Volkswagen,Golf,2003.0,2500000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-740
3,3,Peugeot,307,2007.0,2300000,210000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-154
3,4,Hyundai,Tucson,2008.0,3400000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-2806
3,5,Nissan,Murano,2011.0,2300000,188000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-4351
3,6,Volkswagen,Golf,2000.0,1500000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-2193
3,7,Citroen,C3,,1800000,220000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-304
3,8,Hyundai,Tucson,2008.0,2600000,110000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-4140
3,9,Mitsubishi,Spacestar,2008.0,2000000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-mitsubishi-spacestar-dakar-dakar-2614
3,10,Peugeot,307,2008.0,3200000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3463
3,11,Peugeot,307,2007.0,2100000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3585
3,12,Peugeot,307,2007.0,2200000,160000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2612
3,13,Ford,Edge,2011.0,9800000,80000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-1102
3,14,Peugeot,308,2009.0,3600000,140000.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-3068
3,15,Toyota,Auris,2005.0,3500000,179315.0,Manuelle,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-auris-dakar-dakar-3321
3,16,Ford,Edge,2008.0,7000000,125000.0,Automatique,Dakar,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-899
